Source,Target,Weight,Income_target,Income_source,income_difference,income_change
Architecture and Engineering,Architecture and Engineering,3003711.38,85805.8853362508,85805.8853362508,0.0,No Change
Architecture and Engineering,"Arts, Design, Entertainment, Sports, and Media",48890.88,48073.39358362484,85805.8853362508,-37732.0,Decrease
Architecture and Engineering,Building and Grounds Cleaning and Maintenance,31900.69,25263.93934450072,85805.8853362508,-60542.0,Decrease
Architecture and Engineering,Business Operations Specialists,45985.24,72126.39157945238,85805.8853362508,-13679.0,Decrease
Architecture and Engineering,Community and Social Services,16007.89,44292.41790393022,85805.8853362508,-41513.0,Decrease
Architecture and Engineering,Computer and Mathematical,132805.4,85555.94800059663,85805.8853362508,-250.0,No Change
Architecture and Engineering,Construction,34576.450000000004,35322.4170818456,85805.8853362508,-50483.0,Decrease
Architecture and Engineering,"Education, Training, and Library",67049.56999999999,54339.55113765141,85805.8853362508,-31466.0,Decrease
Architecture and Engineering,Extraction,6340.030000000001,61749.087559895015,85805.8853362508,-24057.0,Decrease
Architecture and Engineering,Financial Specialists,14537.97,87173.02764267992,85805.8853362508,1367.0,No Change
Architecture and Engineering,Food Preparation and Serving,20079.18,21413.937655567493,85805.8853362508,-64392.0,Decrease
Architecture and Engineering,Healthcare Practitioners and Technicians,62690.22,110951.42929549568,85805.8853362508,25146.0,Increase
Architecture and Engineering,Healthcare Support,3737.67,31186.37762206623,85805.8853362508,-54620.0,Decrease
Architecture and Engineering,"Installation, Maintenance, and Repair",41715.03,43386.21816435653,85805.8853362508,-42420.0,Decrease
Architecture and Engineering,Legal,111425.54000000001,138651.97869778567,85805.8853362508,52846.0,Increase
Architecture and Engineering,"Life, Physical, and Social Science",66567.25,73262.04610800583,85805.8853362508,-12544.0,Decrease
Architecture and Engineering,"Management in Business, Science, and Arts",216359.23,85950.99535149992,85805.8853362508,145.0,No Change
Architecture and Engineering,Office and Administrative Support,56690.86,38754.89973644963,85805.8853362508,-47051.0,Decrease
Architecture and Engineering,Personal Care and Service,6871.46,27389.67274878507,85805.8853362508,-58416.0,Decrease
Architecture and Engineering,Production,45193.22,40550.48147829468,85805.8853362508,-45255.0,Decrease
Architecture and Engineering,Protective Service,10190.5,53931.76765492373,85805.8853362508,-31874.0,Decrease
Architecture and Engineering,Sales and Related,87786.64,54168.5905902911,85805.8853362508,-31637.0,Decrease
Architecture and Engineering,Technicians,154104.26,55608.776936369344,85805.8853362508,-30197.0,Decrease
Architecture and Engineering,Transportation and Material Moving,48700.05,36142.09626535514,85805.8853362508,-49664.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Architecture and Engineering,97142.3,85805.8853362508,48073.39358362484,37732.0,Increase
"Arts, Design, Entertainment, Sports, and Media","Arts, Design, Entertainment, Sports, and Media",2961390.68,48073.39358362484,48073.39358362484,0.0,No Change
"Arts, Design, Entertainment, Sports, and Media",Building and Grounds Cleaning and Maintenance,23197.94,25263.93934450072,48073.39358362484,-22809.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Business Operations Specialists,47145.99,72126.39157945238,48073.39358362484,24053.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Community and Social Services,76716.38,44292.41790393022,48073.39358362484,-3781.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Computer and Mathematical,79017.01,85555.94800059663,48073.39358362484,37483.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Construction,59583.22,35322.4170818456,48073.39358362484,-12751.0,Decrease
"Arts, Design, Entertainment, Sports, and Media","Education, Training, and Library",145619.83,54339.55113765141,48073.39358362484,6266.0,Increase
"Arts, Design, Entertainment, Sports, and Media","Farming, Fisheries, and Forestry",333.56,25580.569517769105,48073.39358362484,-22493.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Financial Specialists,24312.9,87173.02764267992,48073.39358362484,39100.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Food Preparation and Serving,107243.85,21413.937655567493,48073.39358362484,-26659.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Healthcare Practitioners and Technicians,54930.69,110951.42929549568,48073.39358362484,62878.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Healthcare Support,7110.65,31186.37762206623,48073.39358362484,-16887.0,Decrease
"Arts, Design, Entertainment, Sports, and Media","Installation, Maintenance, and Repair",33011.9,43386.21816435653,48073.39358362484,-4687.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Legal,65439.47,138651.97869778567,48073.39358362484,90579.0,Increase
"Arts, Design, Entertainment, Sports, and Media","Life, Physical, and Social Science",27170.33,73262.04610800583,48073.39358362484,25189.0,Increase
"Arts, Design, Entertainment, Sports, and Media","Management in Business, Science, and Arts",203693.2,85950.99535149992,48073.39358362484,37878.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Office and Administrative Support,163231.9,38754.89973644963,48073.39358362484,-9318.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Personal Care and Service,36981.520000000004,27389.67274878507,48073.39358362484,-20684.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Production,45623.34,40550.48147829468,48073.39358362484,-7523.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Protective Service,57951.840000000004,53931.76765492373,48073.39358362484,5858.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Sales and Related,201536.5,54168.5905902911,48073.39358362484,6095.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Technicians,17423.739999999998,55608.776936369344,48073.39358362484,7535.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Transportation and Material Moving,79183.22,36142.09626535514,48073.39358362484,-11931.0,Decrease
Building and Grounds Cleaning and Maintenance,Architecture and Engineering,28334.66,85805.8853362508,25263.93934450072,60542.0,Increase
Building and Grounds Cleaning and Maintenance,"Arts, Design, Entertainment, Sports, and Media",35835.39,48073.39358362484,25263.93934450072,22809.0,Increase
Building and Grounds Cleaning and Maintenance,Building and Grounds Cleaning and Maintenance,2781514.39,25263.93934450072,25263.93934450072,0.0,No Change
Building and Grounds Cleaning and Maintenance,Business Operations Specialists,42269.76,72126.39157945238,25263.93934450072,46862.0,Increase
Building and Grounds Cleaning and Maintenance,Community and Social Services,22018.98,44292.41790393022,25263.93934450072,19028.0,Increase
Building and Grounds Cleaning and Maintenance,Computer and Mathematical,46588.77,85555.94800059663,25263.93934450072,60292.0,Increase
Building and Grounds Cleaning and Maintenance,Construction,618324.38,35322.4170818456,25263.93934450072,10058.0,Increase
Building and Grounds Cleaning and Maintenance,"Education, Training, and Library",89700.8,54339.55113765141,25263.93934450072,29076.0,Increase
Building and Grounds Cleaning and Maintenance,Extraction,16117.939999999999,61749.087559895015,25263.93934450072,36485.0,Increase
Building and Grounds Cleaning and Maintenance,"Farming, Fisheries, and Forestry",72517.2,25580.569517769105,25263.93934450072,317.0,No Change
Building and Grounds Cleaning and Maintenance,Financial Specialists,29402.510000000002,87173.02764267992,25263.93934450072,61909.0,Increase
Building and Grounds Cleaning and Maintenance,Food Preparation and Serving,344172.16,21413.937655567493,25263.93934450072,-3850.0,Decrease
Building and Grounds Cleaning and Maintenance,Healthcare Practitioners and Technicians,46124.979999999996,110951.42929549568,25263.93934450072,85687.0,Increase
Building and Grounds Cleaning and Maintenance,Healthcare Support,31565.510000000002,31186.37762206623,25263.93934450072,5922.0,Increase
Building and Grounds Cleaning and Maintenance,"Installation, Maintenance, and Repair",297939.51,43386.21816435653,25263.93934450072,18122.0,Increase
Building and Grounds Cleaning and Maintenance,Legal,25528.69,138651.97869778567,25263.93934450072,113388.0,Increase
Building and Grounds Cleaning and Maintenance,"Life, Physical, and Social Science",12927.17,73262.04610800583,25263.93934450072,47998.0,Increase
Building and Grounds Cleaning and Maintenance,"Management in Business, Science, and Arts",323900.56,85950.99535149992,25263.93934450072,60687.0,Increase
Building and Grounds Cleaning and Maintenance,Office and Administrative Support,316837.36,38754.89973644963,25263.93934450072,13491.0,Increase
Building and Grounds Cleaning and Maintenance,Personal Care and Service,107985.61,27389.67274878507,25263.93934450072,2126.0,No Change
Building and Grounds Cleaning and Maintenance,Production,525821.1,40550.48147829468,25263.93934450072,15287.0,Increase
Building and Grounds Cleaning and Maintenance,Protective Service,159218.99,53931.76765492373,25263.93934450072,28668.0,Increase
Building and Grounds Cleaning and Maintenance,Sales and Related,313449.82,54168.5905902911,25263.93934450072,28905.0,Increase
Building and Grounds Cleaning and Maintenance,Technicians,24532.38,55608.776936369344,25263.93934450072,30345.0,Increase
Building and Grounds Cleaning and Maintenance,Transportation and Material Moving,722028.59,36142.09626535514,25263.93934450072,10878.0,Increase
Business Operations Specialists,Architecture and Engineering,32008.53,85805.8853362508,72126.39157945238,13679.0,Increase
Business Operations Specialists,"Arts, Design, Entertainment, Sports, and Media",50514.97,48073.39358362484,72126.39157945238,-24053.0,Decrease
Business Operations Specialists,Building and Grounds Cleaning and Maintenance,20761.89,25263.93934450072,72126.39157945238,-46862.0,Decrease
Business Operations Specialists,Business Operations Specialists,3127233.53,72126.39157945238,72126.39157945238,0.0,No Change
Business Operations Specialists,Community and Social Services,23170.28,44292.41790393022,72126.39157945238,-27834.0,Decrease
Business Operations Specialists,Computer and Mathematical,144817.66,85555.94800059663,72126.39157945238,13430.0,Increase
Business Operations Specialists,Construction,44222.26,35322.4170818456,72126.39157945238,-36804.0,Decrease
Business Operations Specialists,"Education, Training, and Library",80696.42,54339.55113765141,72126.39157945238,-17787.0,Decrease
Business Operations Specialists,Extraction,1152.4099999999999,61749.087559895015,72126.39157945238,-10377.0,Decrease
Business Operations Specialists,"Farming, Fisheries, and Forestry",3385.9300000000003,25580.569517769105,72126.39157945238,-46546.0,Decrease
Business Operations Specialists,Financial Specialists,67992.37,87173.02764267992,72126.39157945238,15047.0,Increase
Business Operations Specialists,Food Preparation and Serving,38218.4,21413.937655567493,72126.39157945238,-50712.0,Decrease
Business Operations Specialists,Healthcare Practitioners and Technicians,47221.39,110951.42929549568,72126.39157945238,38825.0,Increase
Business Operations Specialists,Healthcare Support,5691.65,31186.37762206623,72126.39157945238,-40940.0,Decrease
Business Operations Specialists,"Installation, Maintenance, and Repair",57233.54,43386.21816435653,72126.39157945238,-28740.0,Decrease
Business Operations Specialists,Legal,46981.49,138651.97869778567,72126.39157945238,66526.0,Increase
Business Operations Specialists,"Life, Physical, and Social Science",27006.91,73262.04610800583,72126.39157945238,1136.0,No Change
Business Operations Specialists,"Management in Business, Science, and Arts",655309.16,85950.99535149992,72126.39157945238,13825.0,Increase
Business Operations Specialists,Office and Administrative Support,168717.99,38754.89973644963,72126.39157945238,-33371.0,Decrease
Business Operations Specialists,Personal Care and Service,9783.29,27389.67274878507,72126.39157945238,-44737.0,Decrease
Business Operations Specialists,Production,78736.0,40550.48147829468,72126.39157945238,-31576.0,Decrease
Business Operations Specialists,Protective Service,25788.23,53931.76765492373,72126.39157945238,-18195.0,Decrease
Business Operations Specialists,Sales and Related,180592.8,54168.5905902911,72126.39157945238,-17958.0,Decrease
Business Operations Specialists,Technicians,6031.299999999999,55608.776936369344,72126.39157945238,-16518.0,Decrease
Business Operations Specialists,Transportation and Material Moving,68502.67,36142.09626535514,72126.39157945238,-35984.0,Decrease
Community and Social Services,Architecture and Engineering,4517.91,85805.8853362508,44292.41790393022,41513.0,Increase
Community and Social Services,"Arts, Design, Entertainment, Sports, and Media",119832.12,48073.39358362484,44292.41790393022,3781.0,Increase
Community and Social Services,Building and Grounds Cleaning and Maintenance,25538.27,25263.93934450072,44292.41790393022,-19028.0,Decrease
Community and Social Services,Business Operations Specialists,37408.17,72126.39157945238,44292.41790393022,27834.0,Increase
Community and Social Services,Community and Social Services,1316833.27,44292.41790393022,44292.41790393022,0.0,No Change
Community and Social Services,Computer and Mathematical,14436.509999999998,85555.94800059663,44292.41790393022,41264.0,Increase
Community and Social Services,Construction,29790.1,35322.4170818456,44292.41790393022,-8970.0,Decrease
Community and Social Services,"Education, Training, and Library",116431.93000000001,54339.55113765141,44292.41790393022,10047.0,Increase
Community and Social Services,Extraction,4102.13,61749.087559895015,44292.41790393022,17457.0,Increase
Community and Social Services,"Farming, Fisheries, and Forestry",2120.0699999999997,25580.569517769105,44292.41790393022,-18712.0,Decrease
Community and Social Services,Financial Specialists,6296.1900000000005,87173.02764267992,44292.41790393022,42881.0,Increase
Community and Social Services,Food Preparation and Serving,35381.4,21413.937655567493,44292.41790393022,-22878.0,Decrease
Community and Social Services,Healthcare Practitioners and Technicians,51150.27,110951.42929549568,44292.41790393022,66659.0,Increase
Community and Social Services,Healthcare Support,13409.84,31186.37762206623,44292.41790393022,-13106.0,Decrease
Community and Social Services,"Installation, Maintenance, and Repair",15414.24,43386.21816435653,44292.41790393022,-906.0,No Change
Community and Social Services,Legal,54485.81,138651.97869778567,44292.41790393022,94360.0,Increase
Community and Social Services,"Life, Physical, and Social Science",46771.78,73262.04610800583,44292.41790393022,28970.0,Increase
Community and Social Services,"Management in Business, Science, and Arts",107321.64,85950.99535149992,44292.41790393022,41659.0,Increase
Community and Social Services,Office and Administrative Support,56212.35,38754.89973644963,44292.41790393022,-5538.0,Decrease
Community and Social Services,Personal Care and Service,56092.31,27389.67274878507,44292.41790393022,-16903.0,Decrease
Community and Social Services,Production,39058.31,40550.48147829468,44292.41790393022,-3742.0,Decrease
Community and Social Services,Protective Service,55095.840000000004,53931.76765492373,44292.41790393022,9639.0,Increase
Community and Social Services,Sales and Related,63576.66,54168.5905902911,44292.41790393022,9876.0,Increase
Community and Social Services,Technicians,451.74,55608.776936369344,44292.41790393022,11316.0,Increase
Community and Social Services,Transportation and Material Moving,33116.23,36142.09626535514,44292.41790393022,-8150.0,Decrease
Computer and Mathematical,Architecture and Engineering,170099.96,85805.8853362508,85555.94800059663,250.0,No Change
Computer and Mathematical,"Arts, Design, Entertainment, Sports, and Media",82218.41,48073.39358362484,85555.94800059663,-37483.0,Decrease
Computer and Mathematical,Building and Grounds Cleaning and Maintenance,11981.2,25263.93934450072,85555.94800059663,-60292.0,Decrease
Computer and Mathematical,Business Operations Specialists,134709.2,72126.39157945238,85555.94800059663,-13430.0,Decrease
Computer and Mathematical,Community and Social Services,12652.61,44292.41790393022,85555.94800059663,-41264.0,Decrease
Computer and Mathematical,Computer and Mathematical,3453794.48,85555.94800059663,85555.94800059663,0.0,No Change
Computer and Mathematical,Construction,54403.66,35322.4170818456,85555.94800059663,-50234.0,Decrease
Computer and Mathematical,"Education, Training, and Library",66606.58,54339.55113765141,85555.94800059663,-31216.0,Decrease
Computer and Mathematical,"Farming, Fisheries, and Forestry",6791.0,25580.569517769105,85555.94800059663,-59975.0,Decrease
Computer and Mathematical,Financial Specialists,54266.88,87173.02764267992,85555.94800059663,1617.0,No Change
Computer and Mathematical,Food Preparation and Serving,49342.66,21413.937655567493,85555.94800059663,-64142.0,Decrease
Computer and Mathematical,Healthcare Practitioners and Technicians,71405.16,110951.42929549568,85555.94800059663,25395.0,Increase
Computer and Mathematical,Healthcare Support,8397.869999999999,31186.37762206623,85555.94800059663,-54370.0,Decrease
Computer and Mathematical,"Installation, Maintenance, and Repair",116266.96,43386.21816435653,85555.94800059663,-42170.0,Decrease
Computer and Mathematical,Legal,92796.67,138651.97869778567,85555.94800059663,53096.0,Increase
Computer and Mathematical,"Life, Physical, and Social Science",118135.09,73262.04610800583,85555.94800059663,-12294.0,Decrease
Computer and Mathematical,"Management in Business, Science, and Arts",429209.83,85950.99535149992,85555.94800059663,395.0,No Change
Computer and Mathematical,Office and Administrative Support,164500.02,38754.89973644963,85555.94800059663,-46801.0,Decrease
Computer and Mathematical,Personal Care and Service,3665.1000000000004,27389.67274878507,85555.94800059663,-58166.0,Decrease
Computer and Mathematical,Production,42215.08,40550.48147829468,85555.94800059663,-45005.0,Decrease
Computer and Mathematical,Protective Service,27644.96,53931.76765492373,85555.94800059663,-31624.0,Decrease
Computer and Mathematical,Sales and Related,163757.4,54168.5905902911,85555.94800059663,-31387.0,Decrease
