Source,Target,Weight,Income_target,Income_source,income_difference,income_change
Architecture and Engineering,Architecture and Engineering,593774.14,71938.56257014627,71938.56257014627,0.0,No Change
Architecture and Engineering,"Arts, Design, Entertainment, Sports, and Media",23295.11,35491.781115393365,71938.56257014627,-36447.0,Decrease
Architecture and Engineering,Building and Grounds Cleaning and Maintenance,2681.75,16541.311755234532,71938.56257014627,-55397.0,Decrease
Architecture and Engineering,Business Operations Specialists,7144.52,53833.96588586904,71938.56257014627,-18105.0,Decrease
Architecture and Engineering,Community and Social Services,1777.27,39850.66848668825,71938.56257014627,-32088.0,Decrease
Architecture and Engineering,Computer and Mathematical,25983.879999999997,69872.77205397128,71938.56257014627,-2066.0,No Change
Architecture and Engineering,Construction,2883.07,30691.128202638778,71938.56257014627,-41247.0,Decrease
Architecture and Engineering,"Education, Training, and Library",19920.260000000002,37672.26891328721,71938.56257014627,-34266.0,Decrease
Architecture and Engineering,Financial Specialists,14840.33,54318.52958380157,71938.56257014627,-17620.0,Decrease
Architecture and Engineering,Food Preparation and Serving,5354.53,16827.164562152913,71938.56257014627,-55111.0,Decrease
Architecture and Engineering,Healthcare Practitioners and Technicians,4186.26,56817.99482099063,71938.56257014627,-15121.0,Decrease
Architecture and Engineering,Healthcare Support,6631.01,24383.338823273294,71938.56257014627,-47555.0,Decrease
Architecture and Engineering,Legal,16473.93,75285.82779871544,71938.56257014627,3347.0,Increase
Architecture and Engineering,"Life, Physical, and Social Science",16276.57,55559.879669785005,71938.56257014627,-16379.0,Decrease
Architecture and Engineering,"Management in Business, Science, and Arts",30966.64,62485.65115532022,71938.56257014627,-9453.0,Decrease
Architecture and Engineering,Office and Administrative Support,21652.12,31322.552919183527,71938.56257014627,-40616.0,Decrease
Architecture and Engineering,Personal Care and Service,9222.869999999999,16956.35344887663,71938.56257014627,-54982.0,Decrease
Architecture and Engineering,Production,9151.24,26529.458098435443,71938.56257014627,-45409.0,Decrease
Architecture and Engineering,Sales and Related,25275.4,29024.82888719898,71938.56257014627,-42914.0,Decrease
Architecture and Engineering,Technicians,85220.21,40079.6350091884,71938.56257014627,-31859.0,Decrease
Architecture and Engineering,Transportation and Material Moving,7850.780000000001,24873.64778481961,71938.56257014627,-47065.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Architecture and Engineering,36460.54,71938.56257014627,35491.781115393365,36447.0,Increase
"Arts, Design, Entertainment, Sports, and Media","Arts, Design, Entertainment, Sports, and Media",2488207.7,35491.781115393365,35491.781115393365,0.0,No Change
"Arts, Design, Entertainment, Sports, and Media",Building and Grounds Cleaning and Maintenance,29081.29,16541.311755234532,35491.781115393365,-18950.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Business Operations Specialists,83030.02,53833.96588586904,35491.781115393365,18342.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Community and Social Services,87188.51,39850.66848668825,35491.781115393365,4359.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Computer and Mathematical,47432.82,69872.77205397128,35491.781115393365,34381.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Construction,2538.31,30691.128202638778,35491.781115393365,-4801.0,Decrease
"Arts, Design, Entertainment, Sports, and Media","Education, Training, and Library",232352.32,37672.26891328721,35491.781115393365,2180.0,No Change
"Arts, Design, Entertainment, Sports, and Media","Farming, Fisheries, and Forestry",1580.99,19847.58208962702,35491.781115393365,-15644.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Financial Specialists,24372.28,54318.52958380157,35491.781115393365,18827.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Food Preparation and Serving,113241.34,16827.164562152913,35491.781115393365,-18665.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Healthcare Practitioners and Technicians,33068.63,56817.99482099063,35491.781115393365,21326.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Healthcare Support,27217.07,24383.338823273294,35491.781115393365,-11108.0,Decrease
"Arts, Design, Entertainment, Sports, and Media","Installation, Maintenance, and Repair",2193.33,39996.60866560612,35491.781115393365,4505.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Legal,56543.93,75285.82779871544,35491.781115393365,39794.0,Increase
"Arts, Design, Entertainment, Sports, and Media","Life, Physical, and Social Science",31120.91,55559.879669785005,35491.781115393365,20068.0,Increase
"Arts, Design, Entertainment, Sports, and Media","Management in Business, Science, and Arts",202107.94,62485.65115532022,35491.781115393365,26994.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Office and Administrative Support,310328.84,31322.552919183527,35491.781115393365,-4169.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Personal Care and Service,93631.16,16956.35344887663,35491.781115393365,-18535.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Production,21957.75,26529.458098435443,35491.781115393365,-8962.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Protective Service,7449.91,38816.46470880795,35491.781115393365,3325.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Sales and Related,243833.63,29024.82888719898,35491.781115393365,-6467.0,Decrease
"Arts, Design, Entertainment, Sports, and Media",Technicians,5911.34,40079.6350091884,35491.781115393365,4588.0,Increase
"Arts, Design, Entertainment, Sports, and Media",Transportation and Material Moving,15522.29,24873.64778481961,35491.781115393365,-10618.0,Decrease
Building and Grounds Cleaning and Maintenance,Architecture and Engineering,11201.36,71938.56257014627,16541.311755234532,55397.0,Increase
Building and Grounds Cleaning and Maintenance,"Arts, Design, Entertainment, Sports, and Media",27500.29,35491.781115393365,16541.311755234532,18950.0,Increase
Building and Grounds Cleaning and Maintenance,Building and Grounds Cleaning and Maintenance,2189955.61,16541.311755234532,16541.311755234532,0.0,No Change
Building and Grounds Cleaning and Maintenance,Business Operations Specialists,16679.95,53833.96588586904,16541.311755234532,37293.0,Increase
Building and Grounds Cleaning and Maintenance,Community and Social Services,20049.63,39850.66848668825,16541.311755234532,23309.0,Increase
Building and Grounds Cleaning and Maintenance,Construction,33336.82,30691.128202638778,16541.311755234532,14150.0,Increase
Building and Grounds Cleaning and Maintenance,"Education, Training, and Library",124527.74,37672.26891328721,16541.311755234532,21131.0,Increase
Building and Grounds Cleaning and Maintenance,Extraction,474.45000000000005,64213.09453174487,16541.311755234532,47672.0,Increase
Building and Grounds Cleaning and Maintenance,"Farming, Fisheries, and Forestry",32662.98,19847.58208962702,16541.311755234532,3306.0,Increase
Building and Grounds Cleaning and Maintenance,Financial Specialists,27574.94,54318.52958380157,16541.311755234532,37777.0,Increase
Building and Grounds Cleaning and Maintenance,Food Preparation and Serving,332690.09,16827.164562152913,16541.311755234532,286.0,No Change
Building and Grounds Cleaning and Maintenance,Healthcare Practitioners and Technicians,62688.9,56817.99482099063,16541.311755234532,40277.0,Increase
Building and Grounds Cleaning and Maintenance,Healthcare Support,112200.93,24383.338823273294,16541.311755234532,7842.0,Increase
Building and Grounds Cleaning and Maintenance,"Installation, Maintenance, and Repair",5620.46,39996.60866560612,16541.311755234532,23455.0,Increase
Building and Grounds Cleaning and Maintenance,Legal,14859.630000000001,75285.82779871544,16541.311755234532,58745.0,Increase
Building and Grounds Cleaning and Maintenance,"Life, Physical, and Social Science",16304.23,55559.879669785005,16541.311755234532,39019.0,Increase
Building and Grounds Cleaning and Maintenance,"Management in Business, Science, and Arts",66652.58,62485.65115532022,16541.311755234532,45944.0,Increase
Building and Grounds Cleaning and Maintenance,Office and Administrative Support,278772.7,31322.552919183527,16541.311755234532,14781.0,Increase
Building and Grounds Cleaning and Maintenance,Personal Care and Service,285628.91,16956.35344887663,16541.311755234532,415.0,No Change
Building and Grounds Cleaning and Maintenance,Production,220261.08,26529.458098435443,16541.311755234532,9988.0,Increase
Building and Grounds Cleaning and Maintenance,Protective Service,27025.36,38816.46470880795,16541.311755234532,22275.0,Increase
Building and Grounds Cleaning and Maintenance,Sales and Related,344227.97,29024.82888719898,16541.311755234532,12484.0,Increase
Building and Grounds Cleaning and Maintenance,Technicians,3989.83,40079.6350091884,16541.311755234532,23538.0,Increase
