Id,Label,occ_field,weighted_avg_income,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,eigencentrality
10,Chief executives and legislators/public administration,"Management in Business, Science, and Arts",162279.861988,110,89,199,1222613.84,889151.73,2111765.57,3,0.543373,0.592387,580.84892,0.072093,0.057826,0.004229,0,0,0,151,0.496611
20,General and Operations Managers,"Management in Business, Science, and Arts",94521.99684,107,106,213,1043492.55,1059105.98,2102598.53,3,0.564456,0.616408,687.207612,0.070178,0.072368,0.003969,0,0,0,106,0.483226
30,"Managers in Marketing, Advertising, and Public Relations","Management in Business, Science, and Arts",104863.870486,106,114,220,1327138.08,1068909.08,2396047.16,3,0.570886,0.625647,953.069454,0.067522,0.071537,0.004035,0,0,0,46,0.467758
100,Administrative Services Managers,"Management in Business, Science, and Arts",76304.442523,31,32,63,242813.68,190593.6,433407.28,3,0.506173,0.527716,31.431939,0.025783,0.024697,0.001311,0,0,0,38,0.160422
110,Computer and Information Systems Managers,"Management in Business, Science, and Arts",111832.585586,54,60,114,595446.27,725595.34,1321041.61,3,0.52381,0.559497,202.47422,0.037683,0.03994,0.002202,0,0,0,132,0.255195
120,Financial Managers,"Management in Business, Science, and Arts",113593.744006,85,86,171,962931.5,947095.89,1910027.39,3,0.547995,0.592757,787.543532,0.05866,0.057103,0.003537,0,0,0,113,0.404901
130,Human Resources Managers,"Management in Business, Science, and Arts",92592.235191,39,41,80,295961.29,224982.94,520944.23,3,0.511338,0.537694,52.108862,0.029727,0.030404,0.001661,0,0,9,104,0.204761
140,Industrial Production Managers,"Management in Business, Science, and Arts",84122.672919,49,70,119,442032.35,495349.61,937381.96,3,0.535629,0.57391,176.739256,0.036639,0.049943,0.001886,0,0,9,114,0.239787
205,"Farmers, Ranchers, and Other Agricultural Managers","Management in Business, Science, and Arts",18130.402069,102,105,207,2268150.04,952410.55,3220560.59,3,0.564456,0.615669,982.015754,0.071581,0.07182,0.004022,0,0,9,149,0.48435
220,Constructions Managers,"Management in Business, Science, and Arts",63959.801947,114,103,217,1598607.87,1278843.22,2877451.09,3,0.563046,0.613452,665.538813,0.080459,0.071093,0.004126,0,0,9,100,0.552986
230,Education Administrators,"Management in Business, Science, and Arts",79868.347099,59,83,142,580811.63,636944.05,1217755.68,3,0.54272,0.587583,324.767899,0.041542,0.05302,0.002515,0,0,0,120,0.288741
