id,label,occ_field,weighted_avg_income
2200,Postsecondary Teachers,"Education, Training, and Library",50935.81055213844
7200,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",32471.68210050542
4965,"Sales and Related Workers, All Other",Sales and Related,27090.87222461204
5810,Data Entry Keyers,Office and Administrative Support,27985.063489499065
2310,Elementary and Middle School Teachers,"Education, Training, and Library",44086.57172364702
2340,Other Teachers and Instructors,"Education, Training, and Library",22920.860361688094
2750,"Musicians, Singers, and Related Workers","Arts, Design, Entertainment, Sports, and Media",17346.636389415235
3130,Registered Nurses,Healthcare Practitioners and Technicians,59325.332355949446
4820,"Securities, Commodities, and Financial Services Sales Agents",Sales and Related,63142.56264064121
6200,First-Line Supervisors of Construction Trades and Extraction Workers,Construction,44553.89077840543
9130,Driver/Sales Workers and Truck Drivers,Transportation and Material Moving,27555.504942306703
310,Food Service and Lodging Managers,"Management in Business, Science, and Arts",30381.709707070822
9620,"Laborers and Freight, Stock, and Material Movers, Hand",Transportation and Material Moving,21230.51640481211
350,Medical and Health Services Managers,"Management in Business, Science, and Arts",65565.26805644167
1820,Psychologists,"Life, Physical, and Social Science",46668.770624339704
3310,Dental Hygienists,Healthcare Practitioners and Technicians,44593.00769767074
3010,Dentists,Healthcare Practitioners and Technicians,106172.01209591138
5860,"Office Clerks, General",Office and Administrative Support,28520.76404962158
860,Insurance Underwriters,Financial Specialists,55320.5840525602
4850,"Sales Representatives, Wholesale and Manufacturing",Sales and Related,36459.739448252185
3820,Police Officers and Detectives,Protective Service,60187.504961758226
4720,Cashiers,Sales and Related,15366.720640725242
430,"Managers, nec (including Postmasters)","Management in Business, Science, and Arts",59991.27376507405
5700,Secretaries and Administrative Assistants,Office and Administrative Support,33514.53190809569
620,"Human Resources, Training, and Labor Relations Specialists",Business Operations Specialists,55449.62837741435
6765,"Construction workers, nec",Construction,15621.787359522756
3050,Pharmacists,Healthcare Practitioners and Technicians,88333.25516658695
2330,Special Education Teachers,"Education, Training, and Library",45416.015798624576
4700,First-Line Supervisors of Sales Workers,Sales and Related,36328.623106866944
5610,"Shipping, Receiving, and Traffic Clerks",Office and Administrative Support,27374.16001338179
7010,"Computer, Automated Teller, and Office Machine Repairers","Installation, Maintenance, and Repair",40673.49599271732
6600,"Helpers, Construction Trades",Construction,21375.373885815094
5330,Loan Interviewers and Clerks,Office and Administrative Support,31035.66590689411
1360,Civil Engineers,Architecture and Engineering,68458.94422284896
4220,Janitors and Building Cleaners,Building and Grounds Cleaning and Maintenance,17549.700359309696
540,"Claims Adjusters, Appraisers, Examiners, and Investigators",Business Operations Specialists,44889.353831022934
3060,Physicians and Surgeons,Healthcare Practitioners and Technicians,142207.78267778124
2300,Preschool and Kindergarten Teachers,"Education, Training, and Library",27030.488996981367
1000,Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers,Computer and Mathematical,64442.758693966396
2430,Librarians,"Education, Training, and Library",39092.651566098
4230,Maids and Housekeeping Cleaners,Building and Grounds Cleaning and Maintenance,15259.87511100365
230,Education Administrators,"Management in Business, Science, and Arts",60040.51580152491
4130,"Food preparation and serving related workers, nec",Food Preparation and Serving,12681.188635898801
4110,Waiters and Waitresses,Food Preparation and Serving,16189.317975205686
950,"Financial Specialists, nec",Financial Specialists,46065.14051767193
8320,Sewing Machine Operators,Production,17408.527112463802
7040,"Electric Motor, Power Tool, and Related Repairers","Installation, Maintenance, and Repair",30111.390378436343
4760,Retail Salespersons,Sales and Related,22613.42444112708
6700,Elevator Installers and Repairers,Construction,63459.96753995187
5550,Postal Service Mail Carriers,Office and Administrative Support,43394.26699688188
7700,First-Line Supervisors of Production and Operating Workers,Production,41670.75936239621
7315,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Installation, Maintenance, and Repair",27962.265224567243
5600,"Production, Planning, and Expediting Clerks",Office and Administrative Support,36584.81649104032
2630,Designers,"Arts, Design, Entertainment, Sports, and Media",34303.25289460722
2100,"Lawyers, and judges, magistrates, and other judicial workers",Legal,116807.2132704555
6320,"Construction equipment operators except paving, surfacing, and tamping equipment operators",Construction,41605.36881305739
4510,"Hairdressers, Hairstylists, and Cosmetologists",Personal Care and Service,16226.88259935251
2540,Teacher Assistants,"Education, Training, and Library",18753.81034832787
3650,"Medical Assistants and Other Healthcare Support Occupations, nec",Healthcare Support,25347.398448149725
9050,Flight Attendants and Transportation Workers and Attendants,Transportation and Material Moving,41888.985830119724
2010,Social Workers,Community and Social Services,42112.5556039904
8220,"Metal workers and plastic workers, nec",Production,28497.0773568601
150,Purchasing Managers,"Management in Business, Science, and Arts",67418.80514406467
4810,Insurance Sales Agents,Sales and Related,42386.37758443814
9610,Cleaners of Vehicles and Equipment,Transportation and Material Moving,20037.779974936544
4350,Nonfarm Animal Caretakers,Personal Care and Service,16726.615405545424
9520,"Dredge, Excavating, and Loading Machine Operators",Transportation and Material Moving,25147.141547123592
9100,Bus and Ambulance Drivers and Attendants,Transportation and Material Moving,22984.6954690497
5800,Computer Operators,Office and Administrative Support,31686.858088715402
