Id,Label,occ_field,weighted_avg_income,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,eigencentrality,stat_inf_class
10,Chief executives and legislators/public administration,"Management in Business, Science, and Arts",122376.00181,1,58,48,106,585664.43,479202.14,1064866.57,3,0.499434,0.535903,276.517431,0.048716,0.04286,0.002939,0.34569,14
20,General and Operations Managers,"Management in Business, Science, and Arts",71939.855093,1,77,76,153,517154.09,534996.34,1052150.43,4,0.531325,0.577475,589.128136,0.064045,0.065148,0.003585,0.453085,127
30,"Managers in Marketing, Advertising, and Public Relations","Management in Business, Science, and Arts",71981.581153,1,98,116,214,1336824.24,1174314.43,2511138.67,3,0.558228,0.622449,881.225904,0.082199,0.088299,0.004138,0.568937,54
110,Computer and Information Systems Managers,"Management in Business, Science, and Arts",93007.65481,1,44,45,89,401716.32,344317.37,746033.69,3,0.496622,0.531746,126.826233,0.034236,0.039184,0.002131,0.230862,38
120,Financial Managers,"Management in Business, Science, and Arts",69184.246605,1,102,96,198,1080022.72,1118747.16,2198769.88,3,0.53912,0.59675,610.479218,0.080204,0.075385,0.004509,0.562299,2
130,Human Resources Managers,"Management in Business, Science, and Arts",73648.256826,1,50,65,115,440142.89,539887.83,980030.72,4,0.515187,0.559335,122.014492,0.044035,0.055056,0.002501,0.306768,37
205,"Farmers, Ranchers, and Other Agricultural Managers","Management in Business, Science, and Arts",12253.717245,7,93,58,151,1504667.86,263807.03,1768474.89,4,0.513388,0.55291,413.045114,0.071907,0.051516,0.004508,0.5158,100
220,Constructions Managers,"Management in Business, Science, and Arts",57933.354811,1,34,31,65,331120.57,185601.04,516721.61,4,0.481967,0.511338,128.360805,0.02864,0.027339,0.001767,0.192395,92
230,Education Administrators,"Management in Business, Science, and Arts",60040.515802,1,102,114,216,1333033.87,1311659.09,2644692.96,3,0.554717,0.619048,1146.199933,0.081003,0.084826,0.004783,0.580701,56
300,Architectural and Engineering Managers,"Management in Business, Science, and Arts",150504.982186,1,8,9,17,31121.03,29987.46,61108.49,4,0.422819,0.446901,1.658921,0.007631,0.00811,0.000656,0.043199,14
350,Medical and Health Services Managers,"Management in Business, Science, and Arts",65565.268056,1,85,96,181,1230951.06,1135574.35,2366525.41,3,0.549875,0.602797,740.616579,0.066343,0.07673,0.004179,0.478029,123
410,"Property, Real Estate, and Community Association Managers","Management in Business, Science, and Arts",42328.81201,1,83,78,161,1161496.44,786115.83,1947612.27,3,0.530048,0.577853,533.613418,0.072081,0.067335,0.003814,0.51079,77
420,Social and Community Service Managers,"Management in Business, Science, and Arts",52773.763731,1,77,87,164,676510.22,794916.04,1471426.26,4,0.531966,0.586168,599.268612,0.065061,0.068018,0.003714,0.459581,47
430,"Managers, nec (including Postmasters)","Management in Business, Science, and Arts",59991.273765,1,210,207,417,4030570.4,3834684.2,7865254.6,3,0.643796,0.730915,9060.889889,0.129692,0.12902,0.010474,0.956962,165
520,"Wholesale and Retail Buyers, Except Farm Products",Business Operations Specialists,40204.699115,1,59,50,109,912137.2,286623.24,1198760.44,3,0.505734,0.541572,211.075105,0.050184,0.044114,0.002853,0.353861,92
